,gender,name,party,suggestion
104,male,Ander,Republican,"[ander crenshaw, ander crenshaw staff, ander crenshaw dc office, ander crenshaw bio, ander crenshaw committees, ander crenshaw chief of staff, ander crenshaw wiki, ander crenshaw phone number, ander crenshaw biography, ander crenshaw email address]"
105,male,Joseph,Democrat,"[joseph crowley, joseph crowley staff, joseph crowley twitter, joseph crowley queens, joseph crowley facebook, joseph crowley imf, joseph crowley committees, joseph crowley contact, joseph crowley dds, joseph crowley office]"
106,male,John,Republican,"[john culberson, john culberson staff, john culberson for congress, john culberson primary, john culberson twitter, john culberson committees, john culberson nasa, john culberson europa, john culberson james lloyd, john culberson district]"
107,male,Elijah,Democrat,"[elijah cummings, elijah cummings senate, elijah cummings wife, elijah cummings district, elijah cummings office, elijah cummings net worth, elijah cummings staff, elijah cummings twitter, elijah cummings john lewis, elijah cummings flint]"
108,male,Danny,Democrat,"[danny davis, danny davis congress, danny davis snowboarder, danny davis salon, danny davis staff, danny davis purcellville, danny davis chief of staff, danny davis and the nashville brass, danny davis instagram, danny davis ministries]"
109,female,Susan,Democrat,"[susan davis, susan davis international, susan davis npr, susan davis usa today, susan davis committees, susan davis for congress, susan davis staff, susan davis artist, susan davis twitter, susan davis vital voices]"
110,male,Peter,Democrat,"[peter defazio, peter defazio for congress, peter defazio chief of staff, peter defazio committees, peter defazio bridge, peter defazio's office, peter defazio wiki, peter defazio internship, peter defazio address, peter defazio tpp]"
111,female,Diana,Democrat,"[diana degette, diana degette staff, diana degette for congress, diana degette dc office, diana degette twitter, diana degette committees, diana degette facebook, diana degette pronunciation, diana degette magazine, diana degette office]"
112,female,Rosa,Democrat,"[rosa delauro, rosa delauro staff, rosa delauro twitter, rosa delauro committees, rosa delauro for congress, rosa delauro internship, rosa delauro district, rosa delauro press release, rosa delauro tpp, rosa delauro scheduler]"
113,male,Mario,Republican,"[mario diaz-balart, mario diaz-balart florida, mario diaz-balart committees, mario diaz-balart contact information, mario diaz-balart twitter, mario diaz-balart for congress, mario diaz-balart internship, mario diaz-balart educational background, mario diaz-balart accomplishments, mario diaz balart office]"
114,male,Lloyd,Democrat,"[lloyd doggett, lloyd doggett staff, lloyd doggett twitter, lloyd doggett district map, lloyd doggett committees, lloyd doggett for congress, lloyd doggett press secretary, lloyd doggett district, lloyd doggett texas, lloyd doggett wiki]"
115,male,Michael,Democrat,"[michael doyle, michael doyle mcclatchy, michael doyle columbia, michael doyle liberalism and world politics, michael doyle attorney, michael doyle linkedin, michael doyle md, michael doyle surgery partners, michael doyle chemistry, michael doyle instagram]"
116,male,John,Republican,"[john duncan, john duncan congress, john duncan faa, john duncan pilot, john duncan tn, john duncan trump pilot, john duncan actor, john duncan artist, john duncan wilmington nc, john duncan facebook]"
117,male,Eliot,Democrat,"[eliot engel, eliot engel staff, eliot engel iran deal, eliot engel twitter, eliot engel district, eliot engel wiki, eliot engel for congress, eliot engel committees, eliot engel internship, eliot engel contact]"
118,female,Anna,Democrat,"[anna eshoo, anna eshoo twitter, anna eshoo chief of staff, anna eshoo for congress, anna eshoo committees, anna eshoo legislative director, anna eshoo internship, anna eshoo office, anna eshoo 2016, anna eshoo district map]"
119,male,Sam,Democrat,"[sam farr, sam farr retirement, sam farr staff, sam farr dc office, sam farr twitter, sam farrand, sam farraj, sam farran, sam farr committees, sam farrar]"
120,male,Chaka,Democrat,"[chaka fattah, chaka fattah jr, chaka fattah wife, chaka fattah for congress, chaka fattah staff, chaka fattah jr twitter, chaka fattah twitter, chaka fattah sr, chaka fattah office, chaka fattah jr wife]"
121,male,J.,Republican,"[j forbes, j forbes munro, j forbes watson, j forbes opticians bishopbriggs, j forbes robertson, j forbes farmer, j forbes photography, j forbes batman, j. forbes royle, j forbes el camino]"
122,male,Trent,Republican,"[trent franks, trent franks staff, trent franks office, trent franks committees, trent franks office dc, trent franks for congress, trent franks shield act, trent franks bio, trent franks twitter, trent franks letter]"
123,male,Rodney,Republican,"[rodney frelinghuysen, rodney frelinghuysen staff, rodney frelinghuysen twitter, rodney frelinghuysen bio, rodney frelinghuysen office, rodney frelinghuysen email, rodney frelinghuysen internship, rodney frelinghuysen biography, rodney frelinghuysen ballotpedia, rodney frelinghuysen chicken]"
